"Season","Name","WAR","playerid"
"2008","Buck Coats","0.1","2945"
"2006","Chad Mottola","-0.3","1315"
"1993","Darrin Jackson","-0.8","1006296"
"1995","Shannon Stewart","-0.2","1322"
"2013","Kevin Pillar","0.0","12434"
"2011","Mike McCoy","0.2","4583"
"2013","Emilio Bonifacio","-0.4","4054"
"2000","Chad Mottola","-0.1","1315"
"2016","Melvin Upton Jr.","-0.3","5015"
"1997","Ruben Sierra","-0.2","1099"
"1997","Jacob Brumfield","-0.3","1001583"
"2011","Mark Teahen","0.0","4511"
"2015","Michael Saunders","-0.1","9981"
"2000","Rob Ducey","-0.2","1003520"
"2010","Mike McCoy","0.4","4583"
"2004","Simon Pond","-0.4","1898"
"2001","Brian Simmons","-0.3","1011979"
"1997","Robert Perez","-0.3","1010186"
"2010","Jeremy Reed","0.0","4730"
"2002","DeWayne Wise","-0.5","1554"
"2011","Colby Rasmus","-0.6","9893"
"1995","Carlos Delgado","-0.7","1297"
"2012","Mike McCoy","-0.1","4583"
"1994","Rob Butler","-0.9","1001783"
"2015","Jonathan Diaz","0.0","4142"
"1996","Shannon Stewart","-0.3","1322"
"2011","DeWayne Wise","-0.1","1554"
"1995","Robert Perez","-0.3","1010186"
"1999","Rob Butler","-0.2","1001783"
"2009","Russ Adams","-0.2","4519"
"1996","Mike Huff","-0.3","1006145"
"2014","Darin Mastroianni","-0.1","7316"
"2002","Brian Lesher","-0.2","1309"
"2000","DeWayne Wise","-0.1","1554"
"2016","Darrell Ceciliani","-0.5","9954"
"2009","David Dellucci","-0.5","1402"
"2002","Pedro Swann","-0.2","1323"
"1994","Robert Perez","-0.1","1010186"
"1994","Shawn Green","-0.7","651"
"2014","Brad Glenn","-0.3","7392"
"2014","Moises Sierra","-0.5","6050"
"1992","Rob Ducey","-0.6","1003520"
"1993","Shawn Green","-0.1","651"
"1999","Curtis Goodwin","-0.1","1004863"
"2000","Vernon Wells","-0.1","1326"
"2004","Chad Hermansen","-0.2","991"
"2011","Darin Mastroianni","-0.1","7316"
"2014","Cole Gillespie","-0.1","5888"
"2016","Dalton Pompey","0.0","12797"
